cntry.code,y1989,y1990,y1991,y1992,y1993,y1994,y1995,y1996,y1997,y1998,y1999,y2000,y2001,y2002,y2003,y2004,y2005,y2006,y2007,y2008,y2009,y2010,y2011,y2012,y2013,y2014,y2015,y2016,y2017,y2018,y2019,y2020
ETH,24358,49698,12225,165,36,75,29,52,,1040,30704,48257,40,50,50,50,83,50,177,50,515,151,51,50,77,25,49,50,,,27,1343
EUU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FCS,,,,,,,,,,,,,,,,,,,,,12763,,19501,68177,89145,105526,96906,82847,63627,51842,48957,39365
FIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FJI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRA,,,,0,,,,0,,,,,,,,,,,,,,,,,,,3,,2,4,,
FRO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FSM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GBR,35,41,26,,,,,,,29,,,,,,,,,,,,,,,,,,,,,1,
GEO,,,52,771,1763,,,,,,,,,0,,27,,,,621,,,,,,,,,,,,
GHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GIB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GIN,,,,,,,,,,,,217,430,,,,,,,,,,,,,,,,,,,
GMB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GNB,,,,2,,,,,,505,199,0,,,,,,,,,,,,,,,,,,,,
GNQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GTM,82,83,72,67,58,37,27,,,,,,,,,,,,,,,,,,,,,,,,,
GUM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GUY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HKG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HPC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HRV,,,,142,345,,826,,,,,,,,,,,,,,,,,,,,,,,,,
HTI,48,,160,,,,,,,,,,,,,207,,,,,,,,,,,,,,,,
HUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IBD,,,,,,,,,,,,,,,,,,,,14427,15269,,,,,,15073,,,,,
IBT,,,,,,,,,,,,,,,,,,,,,33853,,,,,,102288,,,,,
IDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,72130,,,,38138
IDB,,,,,,,,,,,,,,,,547,,,,,7269,,3190,3858,3475,7964,7735,3568,2757,2219,2347,2893
IDN,,72,58,39,,,,,51,30,213,286,278,466,868,935,213,,,,,,,,,,,,,25,,
IDX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35245
